tension;current;power
0,00;0,0152;0,000000
0,02;0,0152;0,000304
0,06;0,0152;0,000912
0,10;0,0152;0,001520
0,14;0,0151;0,002114
0,18;0,0149;0,002682
0,22;0,0148;0,003256
0,26;0,0144;0,003744
0,30;0,0138;0,004140
0,30;0,0139;0,004170
0,31;0,0136;0,004216
0,32;0,0134;0,004288
0,33;0,0133;0,004389
0,34;0,0130;0,004420
0,35;0,0127;0,004445
0,36;0,0124;0,004464
0,37;0,0121;0,004477
0,38;0,0119;0,004522
0,39;0,0115;0,004485
0,40;0,0112;0,004480
0,41;0,0108;0,004428
0,42;0,0105;0,004410
0,43;0,0101;0,004343
0,44;0,0098;0,004312
0,45;0,0094;0,004230
0,46;0,0089;0,004094
0,47;0,0084;0,003948
0,48;0,0079;0,003792
0,49;0,0076;0,003724
0,50;0,0072;0,003600
0,54;0,0056;0,003024
0,58;0,0039;0,002262
0,62;0,0017;0,001054
0,66;0,0000;0,000000
